query_id,start_time,end_time,elapsed_ms,success,error_message
1,2026-08-19T01:17:42.651,2026-08-19T01:17:50.070,7419.06,True,
2,2026-08-19T01:17:50.070,2026-08-19T01:17:54.102,4032.5,True,
3,2026-08-19T01:17:54.102,2026-08-19T01:18:08.606,14503.79,True,
4,2026-08-19T01:18:08.606,2026-08-19T01:18:12.347,3740.27,True,
5,2026-08-19T01:18:12.347,2026-08-19T01:18:17.496,5149.82,True,
6,2026-08-19T01:18:17.496,2026-08-19T01:18:22.964,5467.27,True,
7,2026-08-19T01:18:22.964,2026-08-19T01:18:26.922,3957.32,True,
8,2026-08-19T01:18:26.922,2026-08-19T01:18:30.972,4050.96,True,
9,2026-08-19T01:18:30.972,2026-08-19T01:18:49.197,18224.12,True,
10,2026-08-19T01:18:49.197,2026-08-19T01:18:52.056,2859.35,True,
11,2026-08-19T01:18:52.056,2026-08-19T01:18:54.931,2874.7,True,
12,2026-08-19T01:18:54.931,2026-08-19T01:19:01.305,6374.13,True,
13,2026-08-19T01:19:01.306,2026-08-19T01:19:02.215,909.73,True,
14,2026-08-19T01:19:02.215,2026-08-19T01:19:05.920,3704.3,True,
15,2026-08-19T01:19:05.920,2026-08-19T01:19:08.520,2599.85,True,
16,2026-08-19T01:19:08.520,2026-08-19T01:19:10.683,2163.34,True,
17,2026-08-19T01:19:10.683,2026-08-19T01:19:15.836,5153.09,True,
18,2026-08-19T01:19:15.836,2026-08-19T01:19:31.232,15395.45,True,
19,2026-08-19T01:19:31.232,2026-08-19T01:19:33.783,2550.29,True,
20,2026-08-19T01:19:33.783,2026-08-19T01:19:40.185,6402.52,True,
21,2026-08-19T01:19:40.186,2026-08-19T01:19:46.600,6414.01,True,
22,2026-08-19T01:19:46.600,2026-08-19T01:19:47.771,1170.96,True,
